generation,tempsmin,tempsmax,tempsmoy
2,6.3195013999938965,19.083407300058752,14.033018983396081
3,9.155177899869159,26.82753050001338,18.84957648332541
4,15.771729199914262,27.29653159994632,22.52496770833386
5,17.01516230008565,29.640948799904436,22.951025366666727
6,14.930835100123659,30.649064699886367,24.658259216676623
7,15.604479300091043,35.34752960014157,27.19227945005211
8,20.479954299982637,40.538455200148746,30.038140875015717
9,22.6052318001166,38.0922159999609,32.20454139165425
10,25.64607539982535,45.0223242000211,34.77768935833592
11,24.269515600055456,44.44849189999513,38.4179927916266
12,27.80283769988455,55.32353710010648,40.21229303331347
13,29.44569469988346,60.9227095998358,46.12923850833128
14,30.866248399950564,49.55941170011647,42.672100024996325
15,26.071917499881238,54.94174070004374,48.06632574996911
16,36.95613919990137,53.160350299905986,47.40815252496395
17,35.80066469986923,64.25253369985148,52.75097896665102
18,43.820961999939755,64.2765074998606,54.33962050829238
19,40.32787759997882,75.5770121999085,58.39324221668843
20,50.67554529989138,72.64138550008647,59.68703099169458
21,50.154389299917966,84.76417390001006,68.01313640000687
22,44.46150640002452,72.48075590003282,61.03474932501558
23,42.70605279994197,80.83027420006692,66.87866112500585
24,45.24871090007946,101.26560110016726,76.82479396668107
25,53.66409289999865,104.64704019995406,77.10522432501118
26,57.66188060003333,94.94458999997005,76.45345328331071
27,49.276207899907604,95.48166229994968,78.73320174997207
28,57.42071510013193,117.6281729999464,87.2542418333275
29,68.34113520011306,106.14421080006287,85.9482785416767
30,59.14911270001903,113.90800040005706,90.76178870829365
31,80.74214449990541,121.84623160003684,107.51386578336435
32,75.25059859990142,113.43657019990496,99.86322885833215
33,75.0173184000887,140.38106180005707,100.30987142501787
34,92.39832170004956,122.52200850006193,109.80031886669651
35,70.25149259995669,117.99485650006682,101.3536799250093
36,66.27089009992778,126.77381470007822,100.87664610834327
37,79.867850799812,124.24753209995106,109.53839975832186
38,84.50694560003467,137.17031760001555,106.92951031665628
39,85.04194679995999,127.35579650010914,109.60061762505211
40,78.16141809988767,137.4378144000657,112.63551796670072
41,94.46605310006998,154.70741529995576,123.78007220829993
42,93.06360039999709,149.0279425000772,126.87681710836478
43,89.6035005999729,167.07845300016925,138.454597700038
44,87.743010800099,183.8418759999331,142.40034158331886
45,110.99410169990733,170.79801899986342,150.8209629249953
46,123.60542950010858,187.8722719999496,149.20983854169026
47,100.66714300005697,175.254472900182,144.76883045838136
48,112.48842440010048,160.84755700011738,137.94876966670077
49,99.45606790017337,172.46266210009344,141.9633467500486
50,131.46239490015432,177.2193006000016,154.975240433317
