generation,vitesse,taille,pv
1,2.0,29.5,2.8333333333333335
2,2.0833333333333335,31.166666666666668,3.0
3,2.1666666666666665,30.75,3.0833333333333335
4,2.0,30.0,3.5
5,1.8333333333333333,29.583333333333332,4.0
6,2.1666666666666665,28.583333333333332,4.25
7,1.6666666666666667,27.416666666666668,4.5
8,2.25,26.416666666666668,5.25
9,2.25,25.5,5.416666666666667
10,2.3333333333333335,25.166666666666668,5.916666666666667
11,2.4166666666666665,24.666666666666668,5.666666666666667
12,2.9166666666666665,24.083333333333332,6.25
13,2.25,23.833333333333332,6.25
14,2.5833333333333335,23.25,6.25
15,2.5833333333333335,22.833333333333332,6.166666666666667
16,2.4166666666666665,22.416666666666668,6.583333333333333
17,2.25,22.5,6.833333333333333
18,1.9166666666666667,22.0,7.083333333333333
19,1.8333333333333333,21.416666666666668,7.416666666666667
20,1.8333333333333333,20.833333333333332,8.333333333333334
21,1.6666666666666667,20.833333333333332,8.666666666666666
22,2.25,20.25,8.916666666666666
23,2.0,20.166666666666668,8.666666666666666
24,2.3333333333333335,20.166666666666668,9.083333333333334
25,2.5833333333333335,20.333333333333332,9.583333333333334
26,2.75,20.333333333333332,10.25
27,2.8333333333333335,20.166666666666668,10.666666666666666
28,2.5,20.333333333333332,10.666666666666666
29,3.3333333333333335,20.083333333333332,11.25
30,2.75,20.333333333333332,11.416666666666666
31,2.5833333333333335,20.083333333333332,11.666666666666666
32,2.8333333333333335,20.333333333333332,12.083333333333334
33,2.6666666666666665,20.5,12.166666666666666
34,3.25,20.25,12.25
35,3.0833333333333335,20.333333333333332,11.666666666666666
36,3.4166666666666665,20.416666666666668,11.916666666666666
37,3.6666666666666665,20.25,12.416666666666666
38,3.0833333333333335,20.25,12.666666666666666
39,2.75,20.333333333333332,12.75
40,2.75,20.5,12.75
41,3.0833333333333335,20.25,13.25
42,3.25,20.333333333333332,13.25
43,2.8333333333333335,20.666666666666668,13.333333333333334
44,2.6666666666666665,20.166666666666668,14.25
45,2.6666666666666665,20.25,14.583333333333334
46,2.8333333333333335,20.166666666666668,15.25
47,2.8333333333333335,20.166666666666668,15.583333333333334
48,2.5833333333333335,20.333333333333332,15.916666666666666
49,2.5833333333333335,20.25,15.833333333333334
50,2.75,20.166666666666668,16.083333333333332
51,2.8333333333333335,20.083333333333332,16.75
52,2.75,20.083333333333332,17.166666666666668
53,2.6666666666666665,20.166666666666668,17.0
54,2.0,20.25,16.916666666666668
55,2.0,20.5,16.916666666666668
56,1.9166666666666667,20.5,17.083333333333332
57,2.5,20.25,17.25
58,2.4166666666666665,20.083333333333332,17.583333333333332
59,2.5833333333333335,20.166666666666668,17.75
60,2.8333333333333335,20.083333333333332,18.416666666666668
61,3.1666666666666665,20.083333333333332,18.75
62,2.4166666666666665,20.25,19.25
63,2.0,20.25,19.666666666666668
64,1.75,20.416666666666668,19.25
65,2.5833333333333335,20.25,19.5
66,2.6666666666666665,20.25,20.25
67,2.5833333333333335,20.333333333333332,20.083333333333332
68,2.75,20.333333333333332,20.5
69,2.5,20.333333333333332,20.583333333333332
70,2.0,20.5,20.5
71,1.4166666666666667,20.416666666666668,20.166666666666668
72,1.8333333333333333,20.416666666666668,20.083333333333332
73,2.3333333333333335,20.166666666666668,20.5
74,2.3333333333333335,20.166666666666668,20.166666666666668
75,2.3333333333333335,20.25,20.166666666666668
76,1.9166666666666667,20.583333333333332,20.083333333333332
77,2.3333333333333335,20.25,20.166666666666668
78,1.8333333333333333,20.25,20.416666666666668
79,1.9166666666666667,20.25,21.25
80,1.5,20.333333333333332,21.25
81,1.5,20.166666666666668,21.333333333333332
82,1.3333333333333333,20.083333333333332,22.25
83,1.5833333333333333,20.166666666666668,22.5
84,1.5833333333333333,20.0,22.416666666666668
85,1.5833333333333333,20.416666666666668,22.25
86,1.5,20.416666666666668,22.166666666666668
87,1.75,20.416666666666668,22.25
88,2.25,20.416666666666668,22.5
89,2.3333333333333335,20.333333333333332,22.916666666666668
90,3.0,20.25,23.25
91,2.4166666666666665,20.416666666666668,23.083333333333332
92,2.4166666666666665,20.333333333333332,23.0
93,2.75,20.083333333333332,23.25
94,2.3333333333333335,20.166666666666668,23.166666666666668
95,2.8333333333333335,20.416666666666668,23.166666666666668
96,2.25,20.166666666666668,23.166666666666668
97,1.5,20.5,23.333333333333332
98,1.3333333333333333,20.75,23.25
99,1.0833333333333333,20.666666666666668,23.0
100,1.3333333333333333,20.583333333333332,23.416666666666668
101,1.3333333333333333,20.25,23.5
102,1.4166666666666667,20.333333333333332,23.5
103,1.0833333333333333,20.25,23.833333333333332
104,1.0833333333333333,20.166666666666668,23.0
105,0.4166666666666667,20.25,22.25
106,1.1666666666666667,20.333333333333332,22.25
107,0.8333333333333334,20.333333333333332,23.0
108,1.4166666666666667,20.166666666666668,23.666666666666668
109,1.25,20.083333333333332,24.0
110,1.75,20.166666666666668,24.333333333333332
111,1.6666666666666667,20.333333333333332,24.833333333333332
112,1.1666666666666667,20.5,24.083333333333332
113,1.5,20.25,24.75
114,1.25,20.5,25.0
115,1.0833333333333333,20.416666666666668,24.916666666666668
116,2.0833333333333335,20.25,25.083333333333332
117,2.5833333333333335,20.083333333333332,25.416666666666668
118,2.75,20.25,25.75
119,2.5,20.25,25.666666666666668
120,2.9166666666666665,20.083333333333332,26.333333333333332
121,2.75,20.166666666666668,26.416666666666668
122,2.9166666666666665,20.166666666666668,26.75
123,2.5833333333333335,20.25,27.25
124,2.6666666666666665,20.166666666666668,27.083333333333332
125,2.25,20.416666666666668,27.666666666666668
