generation,tempsmin,tempsmax,tempsmoy
2,10.35732149999967,18.39154679999774,15.169182066666812
3,9.478780900004494,23.810323199999402,16.680561458333006
4,11.08970149999368,21.38130039999669,17.164126249997935
5,12.96436160000303,21.260126799999853,17.883303324999968
6,12.267694900001516,19.526221899999655,16.893899325000046
7,13.685122400005639,23.379546100004518,18.49247964999995
8,13.818975199996203,23.26382449999801,18.194029349999255
9,14.941780500004825,28.378876800001308,21.40148090000063
10,19.54808619999676,30.94210440000461,24.273422191667123
11,16.566090300002543,29.337864400004037,22.857366658334286
12,15.114484400000947,28.86027629999444,23.901994183332743
13,17.01167279999936,28.967130400000315,25.653756975001063
14,19.385406699999294,31.570553800003836,27.440436924999933
15,17.280659500000183,32.07057809999969,26.32856452499982
16,22.617692400002852,32.071039599999494,28.087520749999385
17,24.115116499997384,34.51918160000059,29.616599091666405
18,16.61080629999924,33.97846930000378,25.308897508333757
19,26.21634669999912,35.38932249999925,31.268979258333882
20,20.438823600001342,40.16145289999986,31.241536333333595
21,20.450540799996816,37.34372909999365,30.359152508333864
22,15.13114399999904,36.26437160000205,28.95348915833347
23,25.322461400006432,37.68499559999327,31.85938374166714
24,27.889120100000582,36.856471999999485,33.01642020833424
25,20.99400869999954,40.86130669999693,34.220500791667895
26,21.640651799993066,37.71683219999977,32.95063940833219
27,28.562023799997405,40.98940169999696,36.01167502499933
28,23.94679890000407,39.48943439999857,33.97626773333104
29,26.02281740000035,41.91329189999669,33.79080322500098
30,26.02124249999906,40.60805249999976,35.26941150833409
31,28.738444299997354,41.9506160000019,36.09742950000024
32,24.533700400003,41.040783100004774,34.70028735000111
33,27.150193600005878,42.70511489999626,36.012059225000485
34,29.533369299999322,43.49441780000052,37.14963440833344
35,30.04494739999791,42.947124400001485,37.615193708333514
36,29.38638070000161,45.36009099999501,38.47055656666695
37,35.37897910000174,49.365347300001304,41.85088564999872
38,32.757302800004254,46.51968370000395,40.55208891666856
39,24.49918510000134,42.548022399998445,35.90557102500012
40,33.20400130000053,45.711093199999596,39.09545567500087
41,27.57285449999472,45.595758299998124,37.49839313333238
42,31.522287500003586,44.0514819999953,40.926119591666065
43,32.93222490000335,47.98651249999966,40.08882865000123
44,27.223981200004346,49.89756789999956,41.968594016666124
45,28.048428900001454,50.79658790000394,42.248254125000436
46,33.54523789999803,52.2140756000008,43.27857715833428
47,35.21151259999897,52.93272930000239,44.565202191666685
48,34.71800280000025,48.3994498999964,41.98392284999803
49,32.19482869999774,53.22510289999627,43.261814983333046
50,33.924885899999936,54.63295420000213,45.2843904333331
51,37.50892130000284,53.164775699995516,45.34578654166702
52,40.10928430000058,54.19716779999726,48.79170798333265
53,39.83858200000395,59.26118100000167,50.08294336666586
54,34.97964830000274,63.9170471000034,49.73844345000119
55,39.27526479999506,60.94769599999563,52.20938454999729
