generation,vitesse,taille,pv
1,1.5833333333333333,29.5,2.8333333333333335
2,1.8333333333333333,31.166666666666668,3.3333333333333335
3,1.5,32.333333333333336,3.75
4,1.4166666666666667,32.0,3.8333333333333335
5,1.6666666666666667,31.416666666666668,4.083333333333333
6,1.75,31.333333333333332,4.416666666666667
7,1.4166666666666667,30.333333333333332,4.583333333333333
8,1.5,29.916666666666668,4.416666666666667
9,1.9166666666666667,30.25,4.416666666666667
10,1.75,30.416666666666668,4.75
11,1.5,30.166666666666668,4.916666666666667
12,1.5,29.916666666666668,5.25
13,1.8333333333333333,30.833333333333332,5.25
14,1.8333333333333333,31.0,5.583333333333333
15,1.6666666666666667,31.25,5.583333333333333
16,1.8333333333333333,31.0,6.166666666666667
17,2.0,31.0,6.666666666666667
18,1.5,31.083333333333332,6.833333333333333
19,1.4166666666666667,30.833333333333332,7.083333333333333
20,1.5,31.333333333333332,7.833333333333333
21,1.75,31.75,8.166666666666666
22,2.0,32.416666666666664,8.083333333333334
23,1.9166666666666667,32.666666666666664,8.25
24,1.9166666666666667,32.916666666666664,8.833333333333334
25,2.25,32.833333333333336,8.833333333333334
26,2.25,33.0,8.416666666666666
27,2.5,32.833333333333336,8.333333333333334
28,2.1666666666666665,32.416666666666664,8.5
29,2.1666666666666665,32.416666666666664,8.75
30,2.75,32.333333333333336,9.083333333333334
31,3.4166666666666665,32.083333333333336,8.583333333333334
32,2.75,31.5,8.75
33,2.9166666666666665,31.666666666666668,8.75
34,3.0,31.666666666666668,8.333333333333334
35,3.1666666666666665,31.666666666666668,8.166666666666666
36,3.4166666666666665,31.25,8.75
37,3.3333333333333335,31.166666666666668,9.083333333333334
38,3.5833333333333335,31.333333333333332,9.416666666666666
39,3.4166666666666665,31.583333333333332,9.25
40,3.75,31.166666666666668,8.916666666666666
41,4.083333333333333,31.166666666666668,8.916666666666666
42,3.25,31.333333333333332,9.083333333333334
43,2.9166666666666665,31.166666666666668,9.0
44,3.0,30.5,9.5
